used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
314064,372616,57,0.911350,296
312808,372616,58,0.913627,296
316768,372616,58,0.913043,296
315688,372616,59,0.915130,272
314216,372616,59,0.917845,272
311848,372616,59,0.921820,272
308608,372616,59,0.914625,272
306424,372616,58,0.875901,272
308640,372616,58,0.913148,272
306072,372616,58,0.917216,272
302192,372616,58,0.922655,272
305368,372616,58,0.928289,272
304248,372616,59,0.929710,248
301264,372616,59,0.933219,248
298784,372616,59,0.935888,248
301824,372616,59,0.935124,248
305848,376688,59,0.935124,248
307672,376688,59,0.933041,248
307184,376688,59,0.933651,248
303616,376688,60,0.937444,248
302592,376688,61,0.938454,248
306680,380824,61,0.938454,248
304464,380824,62,0.940531,248
301240,380824,63,0.943315,248
301600,380824,63,0.942977,248
304336,380824,63,0.940560,248
306656,380824,63,0.938337,248
310720,384936,63,0.938337,248
313832,384936,63,0.938955,248
311448,384936,63,0.941327,248
308808,384936,62,0.854133,248
309080,384936,62,0.853415,248
310600,384936,62,0.849792,248
310944,384936,62,0.848858,248
313888,384936,62,0.841327,248
317408,384936,62,0.831303,248
320736,384936,61,0.820660,272
320696,384936,61,0.820956,272
321112,384936,61,0.819381,272
323280,384936,61,0.811461,272
321408,384936,60,0.818528,272
321192,384936,60,0.819436,272
324384,384936,60,0.807624,272
327104,384936,60,0.796236,272
326560,384936,61,0.798579,272
330152,384936,61,0.865152,272
333152,384936,61,0.923774,272
332832,384936,61,0.924458,272
333080,384936,61,0.923909,272
335664,384936,61,0.918646,272
335640,384936,61,0.918834,256
338208,384936,61,0.949786,256
335736,384936,61,0.929983,256
338240,384936,61,0.949741,256
337672,384936,61,0.950598,256
336888,384936,61,0.951711,256
334784,384936,61,0.941682,256
